"","video_id","labels"
"2","0001.mp4","sad"
"3","0001.mp4","attacked"
"4","0001.mp4","wonder"
"5","0001.mp4","awe"
"6","0001.mp4","confused"
"7","0001.mp4","curious"
"8","0001.mp4","tragic"
"9","0001.mp4","confused"
"10","0001.mp4","shocked"
"11","0001.mp4","confusing"
"12","0001.mp4","curious"
"13","0001.mp4","ooh"
"14","0001.mp4","alarm"
"15","0001.mp4","curiosity"
"16","0001.mp4","curiosity"
"17","0001.mp4","scared"
"18","0001.mp4","fright"
"19","0001.mp4","shocked"
"20","0001.mp4","strange"
"21","0001.mp4","scary"
"22","0001.mp4","shocked"
"23","0001.mp4","fear"
"24","0001.mp4","electric"
"25","0001.mp4","Surprised"
"26","0001.mp4","Tactical"
"27","0001.mp4","uncertain"
"28","0001.mp4","curiousity"
"29","0002.mp4","indifferent"
"30","0002.mp4","entertained"
"31","0002.mp4","boring"
"32","0002.mp4","surprise"
"33","0002.mp4","energy"
"34","0002.mp4","control"
"35","0002.mp4","anger"
"36","0002.mp4","anger"
"37","0002.mp4","funny"
"38","0002.mp4","funny"
"39","0002.mp4","energetic"
"40","0002.mp4","Nostalgia"
"41","0002.mp4","surprise"
"42","0002.mp4","unsure"
"43","0002.mp4","funny"
"44","0002.mp4","funny"
"45","0002.mp4","annoyed"
"46","0002.mp4","curious"
"47","0002.mp4","humor"
"48","0002.mp4","boring"
"49","0002.mp4","Puzzlement"
"50","0002.mp4","startled"
"51","0002.mp4","curiosity"
"52","0002.mp4","surprised"
"53","0002.mp4","funny"
"54","0002.mp4","scared"
"55","0002.mp4","attracted"
"56","0002.mp4","power"
"57","0002.mp4","amused"
"58","0002.mp4","stunned"
"59","0002.mp4","boredom"
"60","0002.mp4","nostalgic"
"61","0002.mp4","tension"
"62","0002.mp4","hot"
"63","0002.mp4","preventing"
"64","0002.mp4","confused"
"65","0002.mp4","happy"
"66","0002.mp4","curious"
"67","0002.mp4","excitement"
"68","0002.mp4","pain"
"69","0002.mp4","nostalgic"
"70","0002.mp4","unimpressed"
"71","0002.mp4","zena"
"72","0002.mp4","funny"
"73","0002.mp4","surprised"
"74","0003.mp4","unity"
"75","0003.mp4","amused"
"76","0003.mp4","sexy"
"77","0003.mp4","lust"
"78","0003.mp4","sympathetic"
"79","0003.mp4","nice"
"80","0003.mp4","amusement"
"81","0003.mp4","Whoops"
"82","0003.mp4","annoyed"
"83","0003.mp4","happy"
"84","0003.mp4","funny"
"85","0003.mp4","aroused"
"86","0003.mp4","nice"
"87","0003.mp4","joy"
"88","0003.mp4","happy"
"89","0003.mp4","pity"
"90","0003.mp4","sympathy"
"91","0003.mp4","funny"
"92","0003.mp4","embarresed"
"93","0003.mp4","mirth"
"94","0003.mp4","embarassment"
"95","0003.mp4","lust"
"96","0003.mp4","compassion"
"97","0003.mp4","gratitude"
"98","0003.mp4","warmth"
"99","0003.mp4","respect"
"100","0003.mp4","malnurished"
"101","0003.mp4","relieved"
"102","0003.mp4","apathy"
"103","0003.mp4","calm"
"104","0003.mp4","classy"
"105","0003.mp4","nice"
"106","0003.mp4","sexy"
"107","0003.mp4","embarassed"
"108","0003.mp4","concern"
"109","0003.mp4","humored"
"110","0004.mp4","confused"
"111","0004.mp4","yesterday"
"112","0004.mp4","bored"
"113","0004.mp4","confused"
"114","0004.mp4","coolness"
"115","0004.mp4","comical"
"116","0004.mp4","amused"
"117","0004.mp4","indifferent"
"118","0004.mp4","competence"
"119","0004.mp4","Nostalgic"
"120","0004.mp4","surprised"
"121","0004.mp4","frustration"
"122","0004.mp4","respect"
"123","0004.mp4","relatable"
"124","0004.mp4","snarky"
"125","0004.mp4","curious"
"126","0004.mp4","nostalgia"
"127","0004.mp4","fine"
"128","0004.mp4","confused"
"129","0004.mp4","annoyed"
"130","0004.mp4","funny"
"131","0004.mp4","good"
"132","0004.mp4","humor"
"133","0004.mp4","unamused"
"134","0004.mp4","confused"
"135","0004.mp4","disgust"
"136","0004.mp4","meh"
"137","0004.mp4","happy"
"138","0004.mp4","incredulous"
"139","0004.mp4","annoyed"
"140","0004.mp4","happy"
"141","0004.mp4","Known"
"142","0004.mp4","annoyed"
"143","0004.mp4","love"
"144","0004.mp4","annoyed"
"145","0004.mp4","happiness"
"146","0004.mp4","neutral"
"147","0004.mp4","stupified"
"148","0004.mp4","proud"
"149","0004.mp4","frustration"
"150","0004.mp4","confused"
"151","0004.mp4","amusement"
"152","0005.mp4","sympathy"
"153","0005.mp4","dumb"
"154","0005.mp4","Sadness"
"155","0005.mp4","what"
"156","0005.mp4","horror"
"157","0005.mp4","dangerous"
"158","0005.mp4","refreshed"
"159","0005.mp4","shock"
"160","0005.mp4","sad"
"161","0005.mp4","bewilderment"
"162","0005.mp4","scared"
"163","0005.mp4","scorn"
"164","0005.mp4","curious"
"165","0005.mp4","confused"
"166","0005.mp4","stupid"
"167","0005.mp4","stressed"
"168","0005.mp4","dangerous"
"169","0005.mp4","worried"
"170","0005.mp4","shocked"
"171","0005.mp4","anticipation"
"172","0005.mp4","jeez"
"173","0005.mp4","amazed"
"174","0005.mp4","fear"
"175","0005.mp4","worry"
"176","0005.mp4","shocked"
"177","0005.mp4","at"
"178","0005.mp4","another"
"179","0005.mp4","person"
"180","0005.mp4","stupid"
"181","0005.mp4","peeved"
"182","0005.mp4","anxious"
"183","0005.mp4","stupid"
"184","0005.mp4","indifference"
"185","0005.mp4","tragic"
"186","0005.mp4","amused"
"187","0005.mp4","scared"
"188","0005.mp4","unsure"
"189","0005.mp4","suspense"
"190","0005.mp4","dangerous"
"191","0005.mp4","scared"
"192","0007.mp4","interest"
"193","0007.mp4","fascination"
"194","0007.mp4","awe"
"195","0007.mp4","unusual"
"196","0007.mp4","neutral"
"197","0007.mp4","amazed"
